segment,loan_id,borrower,exposure_inr_lakh,bureau_score,score_migration_3m,dpd_current,dpd_trend_6m,emi_bounce_6m,util_ratio,util_spike_3m,cashflow_coverage,salary_regularity,balance_volatility,new_enquiries_3m,leverage_buildup,ltv_drift,gst_filing_gap_m,interest_coverage,news_adverse_severity,legal_event_flag,call_sentiment_drift,hardship_mentions_6m,audit_qualified_flag,web_footprint_decline,default_12m,true_pd,vintage
SME,LN100000,Borrower-00000,33.3,729.0,-7.0,0,-0.01,0,0.678,0.01,0.84,0.561,0.064,3,-0.042,0.0,0,2.3,0.0,0,-0.275,0,0,0.074,0,0.0071,train
Retail Secured,LN100001,Borrower-00001,6.5,737.0,-23.0,0,0.55,0,0.22,0.313,2.33,0.69,0.202,0,-0.007,-0.009,0,,0.0,0,-0.167,1,0,0.0,0,0.0005,train
Mid Corporate,LN100002,Borrower-00002,15.7,764.0,10.0,0,-0.33,0,0.258,-0.03,2.22,0.824,0.376,0,-0.265,0.0,2,3.53,0.0,0,0.28,0,0,0.0,0,0.0,train
SME,LN100003,Borrower-00003,12.2,763.0,-12.0,35,-0.41,1,0.198,0.012,1.17,0.934,0.801,1,0.173,0.0,0,3.56,0.0,0,0.208,0,0,0.0,0,0.028,train
Retail Unsecured,LN100004,Borrower-00004,8.3,698.0,-2.0,0,-1.47,0,0.0,0.089,1.85,0.781,0.237,0,-0.086,0.0,0,,0.0,0,-0.536,0,0,0.0,0,0.0,train
Microfinance,LN100005,Borrower-00005,25.5,768.0,18.0,0,0.44,0,0.539,0.345,1.52,0.848,0.898,0,0.015,0.0,0,,0.0,0,0.161,0,0,0.058,0,0.0002,train
SME,LN100006,Borrower-00006,1.5,696.0,10.0,5,-0.49,1,0.306,-0.075,1.5,0.921,0.307,1,-0.17,0.0,0,4.79,0.0,0,0.218,0,0,0.054,0,0.0,train
SME,LN100007,Borrower-00007,17.3,728.0,-11.0,0,-1.28,0,0.22,-0.047,2.06,0.654,0.388,0,0.034,0.0,2,1.26,0.0,0,-0.218,0,0,0.104,0,0.0,train
Retail Unsecured,LN100008,Borrower-00008,22.2,726.0,19.0,35,-0.59,1,0.398,0.067,1.8,0.94,0.32,0,-0.338,0.0,0,,0.0,0,-0.257,0,0,0.0,0,0.0001,train
Retail Secured,LN100009,Borrower-00009,5.5,668.0,12.0,15,0.29,1,0.473,-0.055,1.6,0.845,0.122,0,0.106,0.042,0,,0.0,0,-0.01,0,0,0.0,0,0.0001,train
Retail Secured,LN100010,Borrower-00010,129.6,674.0,-13.0,0,0.67,0,0.572,0.03,2.91,0.948,0.119,0,-0.095,0.032,0,,0.0,0,0.093,0,0,0.0,0,0.0,train
Mid Corporate,LN100011,Borrower-00011,12.8,838.0,-9.0,0,-0.18,1,0.203,0.234,1.58,0.628,0.131,1,0.161,0.0,0,0.2,0.0,0,-0.107,0,0,0.23,0,0.0007,train
SME,LN100012,Borrower-00012,18.9,666.0,18.0,0,1.07,0,0.204,-0.03,1.52,0.36,0.07,0,0.257,0.0,1,4.3,0.0,0,-0.566,0,0,0.046,0,0.0031,train
Mid Corporate,LN100013,Borrower-00013,12.8,735.0,14.0,15,1.49,0,0.515,-0.054,0.57,0.725,0.453,0,-0.23,0.0,0,2.41,0.0,0,0.483,0,0,0.0,0,0.0003,train
Retail Secured,LN100014,Borrower-00014,22.4,747.0,-27.0,15,-0.29,0,0.263,0.216,2.87,0.812,0.702,3,0.036,0.181,0,,0.0,0,0.475,0,0,0.0,0,0.0,train
Retail Unsecured,LN100015,Borrower-00015,103.4,712.0,-18.0,15,0.97,0,0.81,-0.056,0.94,0.906,0.252,1,0.453,0.0,0,,0.0,0,-0.441,0,0,0.0,1,0.4326,train
Retail Secured,LN100016,Borrower-00016,372.5,752.0,13.0,15,-0.67,0,0.705,0.037,2.32,0.993,0.383,0,-0.546,-0.005,0,,0.0,0,0.054,0,0,0.0,0,0.0,train
Retail Unsecured,LN100017,Borrower-00017,55.7,733.0,-21.0,0,-1.3,0,0.391,-0.229,1.05,0.94,0.289,1,-0.478,0.0,0,,0.0,0,0.458,0,0,0.0,0,0.0,train
Mid Corporate,LN100018,Borrower-00018,81.2,667.0,14.0,15,-0.94,0,0.523,0.079,1.56,0.69,0.095,1,0.092,0.0,0,2.08,0.0,0,-0.091,0,0,0.201,0,0.0,train
SME,LN100019,Borrower-00019,162.1,745.0,35.0,15,-0.86,0,0.311,0.031,1.96,0.888,0.279,1,0.163,0.0,0,6.47,0.0,0,-0.269,0,1,0.0,0,0.0003,train
SME,LN100020,Borrower-00020,32.3,685.0,7.0,0,-0.44,1,0.384,-0.178,2.92,0.859,0.814,0,0.363,0.0,0,2.17,0.0,0,0.048,0,0,0.0,0,0.0,train
Retail Secured,LN100021,Borrower-00021,138.0,811.0,-17.0,0,1.98,1,0.417,-0.005,1.13,0.731,0.564,2,0.034,0.201,0,,0.0,0,-0.296,1,0,0.0,1,0.9967,train
Microfinance,LN100022,Borrower-00022,58.7,739.0,3.0,0,-0.52,0,0.256,0.114,2.43,0.749,0.32,0,-0.132,0.0,0,,0.0,0,0.041,1,0,0.304,0,0.0,train
Mid Corporate,LN100023,Borrower-00023,28.7,676.0,19.0,35,-0.38,0,0.431,-0.066,1.23,0.952,0.261,1,-0.217,0.0,0,3.44,0.0,0,0.454,0,0,0.207,0,0.0,train
SME,LN100024,Borrower-00024,36.1,734.0,2.0,35,0.15,0,0.74,-0.063,1.79,0.539,0.233,0,0.353,0.0,2,4.08,0.0,0,-0.059,0,0,0.0,0,0.0758,train
Retail Unsecured,LN100025,Borrower-00025,3.3,664.0,9.0,0,-1.32,0,0.534,0.14,1.0,0.923,0.361,0,0.064,0.0,0,,0.0,0,0.177,0,0,0.0,0,0.0,train
Retail Secured,LN100026,Borrower-00026,33.8,729.0,-14.0,35,0.15,0,0.256,-0.008,1.71,0.801,0.027,0,-0.007,-0.048,0,,0.0,0,0.065,0,0,0.0,0,0.0,train
Retail Unsecured,LN100027,Borrower-00027,4.5,703.0,-13.0,0,0.66,0,0.495,0.082,1.93,0.758,0.282,0,0.455,0.0,0,,0.0,0,-0.187,0,0,0.0,0,0.001,train
Retail Unsecured,LN100028,Borrower-00028,4.1,670.0,16.0,15,1.48,0,0.109,0.149,2.08,0.853,0.384,0,-0.028,0.0,0,,0.292,0,-0.57,0,0,0.0,0,0.0057,train
SME,LN100029,Borrower-00029,30.3,669.0,-13.0,0,1.31,0,0.739,-0.102,2.05,0.816,0.252,1,0.247,0.0,0,4.01,0.0,0,0.103,0,0,0.001,0,0.0006,train
SME,LN100030,Borrower-00030,7.2,849.0,-47.0,5,0.36,0,0.736,-0.096,1.57,0.875,0.322,1,0.186,0.0,1,4.99,0.0,0,0.116,0,0,0.0,0,0.0184,train
Microfinance,LN100031,Borrower-00031,24.3,720.0,-6.0,15,-0.22,1,0.471,0.043,1.37,0.844,0.297,0,-0.122,0.0,0,,0.0,1,-0.097,0,0,0.0,1,0.5525,train
